8.0 14.0 5.0
8.0 15.0 2.0
8.0 16.0 2.0
8.0 18.0 2.0
8.0 26.0 2.0
8.0 30.0 2.0
8.0 34.0 2.0
8.0 42.0 1.0
8.0 52.0 1.0
8.0 60.0 2.0
8.0 61.0 2.0
8.0 79.0 7.0
8.0 85.0 2.0
32.0 103.0 6.0
32.0 112.0 4.0
57.0 149.0 1.0
57.0 153.0 1.0
57.0 163.0 1.0
57.0 164.0 1.0
57.0 191.0 1.0
57.0 205.0 1.0
57.0 210.0 1.0
147.0 217.0 6.0
147.0 227.0 3.0
147.0 230.0 2.0
147.0 232.0 4.0
147.0 233.0 4.0
147.0 240.0 4.0
147.0 262.0 7.0
147.0 264.0 3.0
147.0 265.0 6.0
147.0 275.0 5.0
147.0 279.0 6.0
147.0 283.0 7.0
147.0 284.0 3.0
147.0 292.0 6.0
147.0 294.0 3.0
147.0 299.0 4.0
233.0 304.0 3.0
233.0 313.0 6.0
233.0 315.0 4.0
233.0 317.0 4.0
233.0 336.0 7.0
233.0 338.0 5.0
233.0 341.0 4.0
233.0 352.0 4.0
233.0 375.0 3.0
233.0 379.0 5.0
233.0 382.0 4.0
233.0 388.0 4.0
233.0 390.0 2.0
233.0 398.0 2.0
233.0 399.0 3.0
233.0 401.0 5.0
233.0 402.0 3.0
242.0 406.0 6.0
242.0 410.0 12.0
242.0 420.0 13.0
242.0 421.0 11.0
242.0 445.0 11.0
242.0 446.0 10.0
242.0 447.0 12.0
242.0 454.0 16.0
242.0 459.0 2.0
242.0 466.0 9.0
242.0 467.0 6.0
242.0 478.0 13.0
242.0 482.0 10.0
242.0 484.0 10.0
242.0 487.0 14.0
242.0 492.0 9.0
242.0 498.0 16.0
259.0 508.0 5.0
259.0 512.0 16.0
259.0 515.0 1.0
259.0 524.0 4.0
259.0 529.0 3.0
259.0 533.0 6.0
259.0 536.0 5.0
259.0 537.0 3.0
259.0 542.0 5.0
259.0 546.0 4.0
259.0 554.0 4.0
259.0 567.0 3.0
259.0 568.0 4.0
259.0 576.0 6.0
259.0 590.0 5.0
259.0 595.0 5.0
302.0 605.0 5.0
302.0 608.0 5.0
302.0 612.0 4.0
302.0 622.0 5.0
302.0 638.0 4.0
302.0 645.0 4.0
302.0 647.0 3.0
302.0 650.0 2.0
302.0 654.0 5.0
